"RK",TIERS,"PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV"
"142",10,"Patrick Ricard",BAL,"81","116","93.3","16.1"
"143",10,"Patrick Laird",MIA,"86","155","133.2","12.7"
"144",10,"DeAndre Washington",MIA,"98","132","120.5","13.4"
"145",10,"Khari Blasingame",TEN,"112","126","121.0","5.4"
"146",10,"Reggie Bonnafon",CAR,"88","175","138.0","28.6"
"147",10,"Dexter Williams",GB,"96","145","125.8","18.1"
"148",10,"Elijah McGuire",KC,"105","182","146.8","29.4"
"149",10,"D'Ernest Johnson",CLE,"99","164","139.2","21.4"
"150",11,"Corey Clement",NYG,"65","159","142.4","14.5"
"151",11,"Xavier Jones",LAR,"117","173","133.0","23.1"
"152",11,"Keith Smith",ATL,"105","132","115.7","11.7"
"153",11,"Andy Janovich",CLE,"108","133","118.0","10.8"
"154",11,"Caleb Huntley",ATL,"86","135","118.3","22.9"
"155",11,"Elijhaa Penny",NYG,"112","124","118.7","5.0"
"156",11,"Dwayne Washington",NO,"111","165","148.0","20.2"
"157",11,"Jakob Johnson",NE,"87","91","89.0","2.0"
"158",11,"Brenden Knox",DAL,"107","147","122.0","17.8"
"159",11,"Rodney Smith",CAR,"103","173","138.5","34.5"
"160",11,"T.J. Yeldon",BUF,"99","150","122.7","21.0"
"161",11,"J.J. Taylor",NE,"84","187","141.5","40.2"
"162",11,"Alex Armah",NO,"93","104","98.5","5.5"
"163",11,"Michael Burton",KC,"98","100","99.0","1.0"
"164",11,"Antonio Williams",BUF,"91","179","144.5","34.9"
"165",11,"Jordan Scarlett",MIA,"125","169","144.8","15.7"
"166",11,"JaQuan Hardy",DAL,"114","157","131.7","18.4"
"167",11,"Tre Harbison",CLE,"104","107","105.5","1.5"
"168",11,"Tony Brooks-James",ATL,"126","146","133.7","8.8"
"169",11,"Lamar Miller",WAS,"104","189","156.2","30.1"
"170",11,"Dedrick Mills",DET,"101","116","108.5","7.5"
"171",11,"Reggie Gilliam",BUF,"106","111","108.5","2.5"
"172",11,"Bo Scarbrough",SEA,"109","116","112.5","3.5"
"173",11,"Austin Walter",NYJ,"133","142","138.7","4.0"
"174",11,"Troymaine Pope",TB,"111","118","114.5","3.5"
"175",11,"Ryan Nall",CHI,"136","146","140.0","4.3"
"176",11,"Cullen Gillaspia",NYG,"115","123","119.0","4.0"
"177",11,"Rico Dowdle",DAL,"129","166","144.0","15.9"
"178",11,"Scottie Phillips",HOU,"138","153","145.3","6.1"
