"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV"
"351",14,"Olamide Zaccheaus",ATL,"WR115","159","378","280.0","59.7"
"352",14,"C.J. Uzomah",CIN,"TE42","136","381","290.5","49.6"
"353",14,"Harrison Bryant",CLE,"TE43","208","373","314.1","34.2"
"354",14,"Cody Parkey",CLE,"K30","204","347","307.4","27.1"
"355",14,"Lynn Bowden Jr.",MIA,"WR116","205","391","309.4","41.9"
"356",14,"Chris Thompson",JAC,"RB100","264","360","330.7","14.1"
"357",14,"David Njoku",CLE,"TE44","236","391","321.3","34.1"
"358",14,"Tyler Eifert",JAC,"TE45","232","368","307.8","31.1"
"359",14,"Josh Palmer",LAC,"WR117","178","385","308.4","54.4"
"360",14,"Drew Sample",CIN,"TE46","220","374","313.6","42.5"
"361",14,"Chris Evans",CIN,"RB101","177","386","277.5","56.2"
"362",14,"Golden Tate",FA,"WR118","210","390","300.8","49.4"
"363",14,"Larry Rountree III",LAC,"RB102","134","377","298.3","59.1"
"364",14,"Sam Sloman",PIT,"K31","268","342","318.0","13.2"
"365",14,"Jalen Guyton",LAC,"WR119","193","383","312.9","46.6"
"366",14,"Albert Okwuegbunam",DEN,"TE47","158","383","308.1","45.0"
"367",14,"Steven Sims Jr.",WAS,"WR120","243","378","315.1","31.2"
"368",14,"Cordarrelle Patterson",ATL,"WR121","166","378","319.2","46.7"
"369",14,"Randy Bullock",DET,"K32","171","353","323.4","19.1"
"370",14,"Peyton Barber",WAS,"RB103","264","382","344.0","22.8"
"371",14,"Mike Boone",DEN,"RB104","199","386","323.1","45.8"
"372",14,"Marquez Callaway",NO,"WR122","210","384","290.2","44.7"
"373",14,"Qadree Ollison",ATL,"RB105","179","386","277.8","58.8"
"374",14,"Dez Fitzpatrick",TEN,"WR123","178","346","302.1","39.5"
"375",14,"Detroit Lions",DET,"DST30","152","355","326.3","17.4"
"376",14,"Dede Westbrook",JAC,"WR124","283","373","323.7","26.8"
"377",14,"Tutu Atwell",LAR,"WR125","222","396","327.3","38.8"
"378",14,"Ryquell Armstead",NYG,"RB106","269","360","330.0","12.9"
"379",14,"Bryce Love",WAS,"RB107","294","366","327.5","14.9"
"380",14,"Las Vegas Raiders",LV,"DST31","159","355","330.9","21.2"
"381",14,"Danny Amendola",DET,"WR126","265","369","323.6","29.0"
"382",14,"Tyler Johnson",TB,"WR127","246","378","332.7","40.0"
"383",14,"Larry Fitzgerald",ARI,"WR128","247","396","327.2","31.6"
"384",14,"Jordan Love",GB,"QB39","154","397","336.8","45.9"
"385",14,"Tylan Wallace",BAL,"WR129","244","379","333.8","32.3"
"386",15,"Cornell Powell",KC,"WR130","207","396","317.2","52.7"
"387",15,"Brevin Jordan",HOU,"TE48","259","376","335.4","32.1"
"388",15,"Royce Freeman",DEN,"RB108","316","387","345.6","16.1"
"389",15,"Cameron Brate",TB,"TE49","282","376","336.1","18.7"
"390",15,"Antonio Gandy-Golden",WAS,"WR131","295","371","342.3","20.5"
"391",15,"Tyler Conklin",MIN,"TE50","230","394","318.3","40.1"
"392",15,"Kylin Hill",GB,"RB109","217","382","324.1","39.6"
"393",15,"Collin Johnson",JAC,"WR132","198","383","332.1","35.9"
"394",15,"Jacob Hollister",BUF,"TE51","181","389","329.0","37.8"
"395",15,"Cincinnati Bengals",CIN,"DST32","140","355","332.9","16.7"
"396",15,"Jalen Hurd",SF,"WR133","216","373","327.8","46.6"
"397",15,"Khalil Herbert",CHI,"RB110","237","376","323.6","31.7"
"398",15,"Devin Duvernay",BAL,"WR134","189","392","340.2","39.3"
"399",15,"Greg Joseph",MIN,"K33","252","353","313.5","23.3"
"400",15,"Nick Folk",NE,"K34","179","351","314.2","26.9"
"401",15,"Tucker McCann",TEN,"K35","221","324","303.2","17.6"
"402",15,"Chris Conley",HOU,"WR135","242","372","313.0","43.5"
"403",15,"Devine Ozigbo",JAC,"RB111","306","380","348.8","21.2"
"404",15,"Evan McPherson",CIN,"K36","216","353","305.3","42.2"
"405",15,"Adam Humphries",WAS,"WR136","188","369","322.3","33.7"
"406",15,"Auden Tate",CIN,"WR137","240","389","316.6","39.6"
"407",15,"Deonte Harris",NO,"WR138","238","376","318.6","56.6"
"408",15,"Alshon Jeffery",FA,"WR139","293","378","337.4","23.7"
"409",15,"Davis Mills",HOU,"QB40","275","385","341.7","28.6"
"410",15,"Frank Gore",NYJ,"RB112","275","382","352.3","24.2"
"411",15,"Hunter Long",MIA,"TE52","299","383","342.0","22.5"
"412",15,"Dare Ogunbowale",JAC,"RB113","321","390","355.3","18.0"
"413",15,"Alex Collins",SEA,"RB114","199","377","267.6","58.9"
"414",15,"James O'Shaughnessy",JAC,"TE53","272","370","316.8","29.1"
"415",15,"Mitchell Trubisky",BUF,"QB41","241","397","362.1","22.5"
"416",15,"Cam Sims",WAS,"WR140","174","384","345.6","45.9"
"417",15,"Kyle Juszczyk",SF,"RB115","188","374","302.5","59.3"
"418",15,"David Moore",CAR,"WR141","231","389","317.1","55.2"
"419",15,"LeSean McCoy",TB,"RB116","321","384","350.9","20.8"
"420",15,"Tim Tebow",JAC,"TE54","133","348","258.3","78.2"
"421",15,"Gerrid Doaks",MIA,"RB117","237","362","318.3","37.2"
"422",15,"Anthony Schwartz",CLE,"WR142","290","390","351.5","30.1"
"423",15,"Jacob Harris",LAR,"TE55","212","292","259.0","34.1"
"424",15,"Gardner Minshew II",JAC,"QB42","167","387","359.9","17.8"
"425",15,"Geoff Swaim",TEN,"TE56","294","382","349.9","17.0"
"426",15,"Noah Gray",KC,"TE57","191","325","244.3","58.0"
"427",15,"Sam Ficken",NYJ,"K37","277","353","322.0","15.6"
"428",15,"Dazz Newsome",CHI,"WR143","285","379","334.9","30.5"
"429",15,"Foster Moreau",LV,"TE58","305","391","358.3","16.7"
"430",15,"Darwin Thompson",KC,"RB118","277","362","317.4","26.5"
"431",15,"Brycen Hopkins",LAR,"TE59","282","389","359.6","16.2"
"432",15,"Taylor Heinicke",WAS,"QB43","302","391","359.6","25.3"
"433",15,"JaMycal Hasty",SF,"RB119","173","368","305.3","78.4"
"434",15,"Richie James Jr.",SF,"WR144","262","396","351.8","36.3"
"435",15,"Pooka Williams Jr.",CIN,"RB120","227","359","280.7","56.6"
"436",15,"Maxx Williams",ARI,"TE60","180","366","328.6","28.4"
"437",15,"Devin Funchess",GB,"WR145","223","385","283.7","72.1"
"438",15,"Ryan Griffin",NYJ,"TE61","305","376","356.4","11.2"
"439",15,"Jaylen Samuels",PIT,"RB121","313","352","333.0","12.8"
"440",15,"Ty Montgomery",NO,"RB122","289","396","339.2","38.0"
"441",15,"Stevie Scott III",NO,"RB123","315","379","339.6","24.9"
"442",15,"Trayveon Williams",CIN,"RB124","284","364","339.8","25.3"
"443",15,"Richard Rodgers",PHI,"TE62","230","382","341.6","57.9"
"444",15,"Kene Nwangwu",MIN,"RB125","306","392","358.3","23.4"
